,trip_hours,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,age,member_gender,bike_share_for_all_trip
0,14.5,2019-02-28 17:32:10.145,2019-03-01 08:01:55.975,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,13.0,Commercial St at Montgomery St,37.794231,-122.402923,4902,Customer,38.0,Male,No
38,0.3,2019-02-28 23:31:16.139,2019-02-28 23:49:02.792,58.0,Market St at 10th St,37.776619,-122.417385,145.0,29th St at Church St,37.7436839,-122.4268059,5938,Subscriber,30.0,Female,No
42,0.43,2019-02-28 23:20:24.089,2019-02-28 23:46:19.019,15.0,"San Francisco Ferry Building 
(Harry Bridges Plaza)",37.795392,-122.394203,284.0,Yerba Buena Center for the Arts (Howard St at 3rd St),37.78487208436062,-122.40087568759915,5411,Subscriber,50.0,Male,No
54,0.11,2019-02-28 23:30:52.471,2019-02-28 23:37:33.955,58.0,Market St at 10th St,37.776619,-122.417385,62.0,Victoria Manalo Draves Park,37.77779057034257,-122.40643188357352,5407,Subscriber,32.0,Female,No
63,0.07,2019-02-28 23:28:42.709,2019-02-28 23:32:41.769,21.0,"Montgomery St BART Station 
(Market St at 2nd St)",37.7896254,-122.400811,343.0,Bryant St at 2nd St,37.783171989315306,-122.39357203245164,5731,Subscriber,36.0,Male,No
85,0.02,2019-02-28 23:17:06.483,2019-02-28 23:18:19.711,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,80.0,Townsend St at 5th St,37.77523486860597,-122.39743709564208,5012,Subscriber,27.0,Male,No
89,0.5,2019-02-28 22:46:44.094,2019-02-28 23:16:48.092,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,9.0,Broadway at Battery St,37.79857210846256,-122.40086898207666,6581,Subscriber,31.0,Female,No
110,0.1,2019-02-28 23:01:15.077,2019-02-28 23:07:26.459,58.0,Market St at 10th St,37.776619,-122.417385,98.0,Valencia St at 16th St,37.765052,-122.4218661,6435,Subscriber,28.0,Male,No
114,0.1,2019-02-28 23:00:05.223,2019-02-28 23:06:21.515,58.0,Market St at 10th St,37.776619,-122.417385,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,5731,Subscriber,40.0,Male,No
184,0.14,2019-02-28 22:30:47.173,2019-02-28 22:39:13.903,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,60.0,8th St at Ringold St,37.77452040113685,-122.4094493687153,5588,Subscriber,35.0,Male,No
188,0.06,2019-02-28 22:34:06.686,2019-02-28 22:37:33.529,67.0,"San Francisco Caltrain Station 2  
(Townsend St at 4th St)",37.7766392,-122.3955263,49.0,S Park St at 3rd St,37.7807601,-122.3949894,5840,Subscriber,27.0,Male,No
